scenario_id,return_period,duration_min,overflow_flag,total_inflow_m3,max_possible_drain_m3,inflow_minus_maxdrain_m3,reservoir_capacity_m3,peak_vol_m3,max_level_m
80yr_0540m_h857,80,540,0,96437.63644249871,381440,-285002.3635575013,16000.0,3162.0604963724973,6.558455915628728
100yr_0540m_h771,100,540,0,96321.02733117898,381440,-285118.972668821,16000.0,3142.3405935465125,6.551705826641838
100yr_0540m_h776,100,540,0,98978.2243859915,381440,-282461.7756140085,16000.0,3095.596184166313,6.535705295313652
100yr_0540m_h801,100,540,0,98555.01908067933,381440,-282884.98091932066,16000.0,3066.450326803443,6.525728718221227
100yr_0540m_h807,100,540,0,97850.4499128821,381440,-283589.5500871179,16000.0,3081.462487349216,6.5308673550828615
100yr_0540m_h856,100,540,0,98876.80351480888,381440,-282563.1964851911,16000.0,3233.0926962299,6.5827701160689145
10yr_0720m_h888,10,720,0,65490.21862854663,496640,-431149.78137145337,16000.0,2471.619766294301,6.322119235406362
10yr_0720m_h899,10,720,0,66914.21594634323,496640,-429725.78405365674,16000.0,2694.040147341824,6.398253351168351
10yr_0720m_h943,10,720,0,67209.51906550262,496640,-429430.4809344974,16000.0,2714.7189568393296,6.405331672267741
10yr_0720m_h966,10,720,0,67585.54971484048,496640,-429054.4502851595,16000.0,2773.702341698228,6.425521583955383
10yr_0720m_h977,10,720,0,67862.09074299433,496640,-428777.90925700567,16000.0,2715.7098835295305,6.405670864777834
20yr_0720m_h891,20,720,0,75440.2813670692,496640,-421199.7186329308,16000.0,2728.863316391347,6.410173262334446
20yr_0720m_h898,20,720,0,75346.19648262317,496640,-421293.80351737683,16000.0,2702.4396012263537,6.401128469857431
20yr_0720m_h915,20,720,0,78113.5228754482,496640,-418526.4771245518,16000.0,2741.5570010188935,6.414518288857323
20yr_0720m_h916,20,720,0,77831.25322003833,496640,-418808.7467799617,16000.0,2750.370493142269,6.417535132126938
20yr_0720m_h936,20,720,0,78401.6401832852,496640,-418238.3598167148,16000.0,2737.1052663273204,6.412994467691503
30yr_0720m_h892,30,720,0,81978.59016065247,496640,-414661.4098393475,16000.0,2762.300368243521,6.421618707956218
30yr_0720m_h903,30,720,0,84232.34488369289,496640,-412407.6551163071,16000.0,2714.4696171497035,6.405246323718725
30yr_0720m_h904,30,720,0,83951.02371639437,496640,-412688.9762836056,16000.0,2808.3090180253816,6.437367390033137
30yr_0720m_h920,30,720,0,83859.55444504815,496640,-412780.44555495185,16000.0,2773.5480080517054,6.42546875581232
30yr_0720m_h926,30,720,0,84693.05252654348,496640,-411946.9474734565,16000.0,2754.5267851545086,6.4189578237692695
50yr_0720m_h879,50,720,0,90535.29452874219,496640,-406104.7054712578,16000.0,2820.5699016914778,6.441564269527645
50yr_0720m_h935,50,720,0,91925.80410035315,496640,-404714.19589964685,16000.0,2768.45664984061,6.4237259926104775
50yr_0720m_h941,50,720,0,92530.72339332414,496640,-404109.2766066759,16000.0,2759.206302442259,6.420559614527913
50yr_0720m_h971,50,720,0,93754.88310616404,496640,-402885.11689383595,16000.0,2940.19640930666,6.482512218344578
50yr_0720m_h988,50,720,0,92969.27709037779,496640,-403670.72290962224,16000.0,2858.6739698815713,6.4546072268543275
80yr_0720m_h877,80,720,0,97746.06642745188,496640,-398893.9335725481,16000.0,2712.257689960296,6.404489184827485
80yr_0720m_h882,80,720,0,98061.42126598742,496640,-398578.57873401255,16000.0,2739.611579926658,6.413852374547022
80yr_0720m_h910,80,720,0,99483.7920550693,496640,-397156.2079449307,16000.0,2997.6507822410385,6.502178751867348
80yr_0720m_h939,80,720,0,99308.65489162842,496640,-397331.3451083716,16000.0,3000.3249340817983,6.5030941094656525
80yr_0720m_h968,80,720,0,100699.79797587002,496640,-395940.20202413,16000.0,3027.6268835763885,6.512439520050598
100yr_0720m_h885,100,720,0,101431.51798622214,496640,-395208.48201377783,16000.0,2820.2881685302755,6.441467832748749
100yr_0720m_h938,100,720,0,103207.52682507696,496640,-393432.47317492304,16000.0,3022.7113110833584,6.510756927999194
100yr_0720m_h940,100,720,0,103306.82456317058,496640,-393333.17543682945,16000.0,3025.811660209716,6.511818172198924
100yr_0720m_h968,100,720,0,103953.59265441236,496640,-392686.4073455876,16000.0,3055.156600507111,6.521862895039109
100yr_0720m_h985,100,720,0,104703.51576656481,496640,-391936.4842334352,16000.0,3104.5035053803767,6.538754256120423
10yr_1080m_h1012,10,1080,0,71399.7844164037,727040,-655640.2155835963,16000.0,2465.70768251248,6.320095539246325
10yr_1080m_h1046,10,1080,0,72770.99907292318,727040,-654269.0009270768,16000.0,2461.041677338376,6.318498373661058
10yr_1080m_h1088,10,1080,0,74436.32762405512,727040,-652603.6723759449,16000.0,2494.720219387409,6.330026480963905
10yr_1080m_h1096,10,1080,0,73631.52923880512,727040,-653408.4707611948,16000.0,2527.533621219062,6.341258452251023
10yr_1080m_h1097,10,1080,0,74169.30867865024,727040,-652870.6913213497,16000.0,2531.0162486797353,6.342450549670325
20yr_1080m_h1037,20,1080,0,85195.6812812037,727040,-641844.3187187964,16000.0,2506.8819531188396,6.334189421605471
