scenario_id,return_period,duration_min,n_steps,max_level_m,overflow_flag,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,total_inflow_m3,total_outflow_m3,peak_inflow_per_step_m3,max_possible_drain_m3,reservoir_capacity_m3,inflow_minus_maxdrain_m3,peak_vol_m3,wall_s
50yr_0120m_h321,50,120,89,6.793312172794395,0,14,124,48,0,182.57385906473363,43210.86535997968,41120.0,1394.8775439583592,112640,16000.0,-69429.13464002032,3848.1762762350536,0.056538033997640014
50yr_0120m_h344,50,120,89,7.017802532845275,0,11,131,44,0,183.710491789191,42422.52147015224,40960.0,1487.445000511495,112640,16000.0,-70217.47852984775,4517.032652483791,0.057586440118029714
80yr_0120m_h285,80,120,89,6.782544402521415,0,11,139,51,0,183.86831426775285,46834.87702096873,44940.0,1395.4794085043923,112640,16000.0,-65805.12297903126,3816.71900450899,0.058238370111212134
80yr_0120m_h288,80,120,89,6.837195421046691,0,11,143,53,0,183.85296780184802,47739.51118753839,46420.0,1410.3520906588233,112640,16000.0,-64900.48881246161,3976.3780514864056,0.05788239394314587
80yr_0120m_h316,80,120,89,7.102711824781879,0,12,130,52,0,184.71434434606402,45718.24002852644,43680.0,1450.7158837378242,112640,16000.0,-66921.75997147357,4827.206295928203,0.05778144020587206
80yr_0120m_h332,80,120,89,7.054842661810562,0,14,129,52,0,184.0026587247008,45467.406187139684,43480.0,1445.6974266893249,112640,16000.0,-67172.59381286032,4652.340243593983,0.05776981497183442
80yr_0120m_h335,80,120,89,7.101320150318829,0,14,129,54,0,184.32813948582896,46213.792781589626,44160.0,1460.7290113139443,112640,16000.0,-66426.20721841037,4822.122509114681,0.05734271206893027
100yr_0120m_h268,100,120,89,6.64953706553094,0,12,157,47,0,183.38610315832733,49217.832021611895,47380.0,1327.6960019049593,112640,16000.0,-63422.167978388105,3428.147570015391,0.06123577710241079
100yr_0120m_h299,100,120,89,7.038488502256516,0,16,144,55,0,184.32764998496722,48284.0990001282,47500.0,1424.6078530227583,112640,16000.0,-64355.9009998718,4592.59849874305,0.059777668211609125
100yr_0120m_h326,100,120,89,7.2074307114540215,0,14,132,55,0,185.02723258682707,47053.65278290944,45100.0,1480.4853562460435,112640,16000.0,-65586.34721709056,5209.744388941539,0.05853719194419682
100yr_0120m_h331,100,120,89,7.243288371640511,0,14,133,57,0,185.28320582145824,47722.16804784926,45980.0,1496.3153516798873,112640,16000.0,-64917.83195215074,5340.732421602788,0.05866315495222807
100yr_0120m_h364,100,120,89,7.442413448777044,0,11,144,51,0,186.1820542674846,47341.089273099795,45940.0,1622.3115861426581,112640,16000.0,-65298.910726900205,6068.136328382541,0.060561767080798745
10yr_0180m_h385,10,180,119,6.541622801374815,0,18,166,12,0,238.77404965128642,38048.20791368453,37280.0,769.9103999252843,151040,16000.0,-112991.79208631547,3112.8837554449947,0.06788796512410045
10yr_0180m_h417,10,180,119,6.536028050106077,0,16,160,14,0,239.26398710908106,37468.532666286934,36760.0,796.6795418892527,151040,16000.0,-113571.46733371307,3096.5390892384657,0.06731329020112753
