condition,scenario,n_decisions,swmm_time_s,inference_time_s,total_time_s,ms_per_decision_inference_only,margin_x
PSO-only,100yr_0120m_h322,88,,,2.1087981099262834,23.96361488552595,5007.591741614916
PSO-only,100yr_0180m_h465,118,,,2.7682592298369855,23.45982398166937,5115.127892424237
PSO-only,100yr_0240m_h602,148,,,3.466621759114787,23.423119994018833,5123.143288795104
PSO-only,100yr_0360m_h670,208,,,4.770097004948184,22.933158677635497,5232.597989958725
PSO-only,100yr_0540m_h862,298,,,6.596176614053547,22.134820852528684,5421.322395129807
PSO-only,100yr_0720m_h964,388,,,8.540188302984461,22.010794595320775,5451.870421139204
PSO-only,100yr_1080m_h1077,568,,,12.015004402957857,21.153176765770873,5672.906785054557
PSO-only,100yr_1440m_h1202,748,,,15.67248658509925,20.95252217259258,5727.234125396546
PSO-only,20yr_0060m_h225,58,,,1.3202793500386178,22.763437069631344,5271.611647789857
PSO-only,20yr_0120m_h366,88,,,2.0016666769515723,22.74621223808605,5275.603636506701
PSO-only,20yr_0180m_h435,118,,,2.636882676044479,22.346463356309147,5369.97725710006
PSO-only,20yr_0240m_h588,148,,,3.270179426064715,22.095806932869692,5430.894665425781
PSO-only,20yr_0360m_h664,208,,,4.360236044041812,20.96267328866256,5724.460728245988
PSO-only,20yr_0540m_h775,298,,,6.0968131669797,20.459104587180203,5865.359331277515
PSO-only,20yr_0720m_h983,388,,,7.817044843919575,20.147022793607153,5956.215031338385
PSO-only,20yr_1080m_h1084,568,,,11.233354158932343,19.777031969951306,6067.644537477858
